,V1
MonthDay|BREAKFAST FOODS_Ticket_Size,1
MonthDay|COMMERCIAL BKRY_Ticket_Size,1
MonthDay|COOKING OIL_Ticket_Size,1
MonthDay|DELI.LUNCH SNACKS_Ticket_Size,1
MonthDay|DELI FRUIT DRINKS . PUNCHES_Basket_Size,1
Month|BEANS.CANNED_Ticket_Size,1
Month|CANDY_Basket_Size,1
Month|CONDIMENTS_Evening,1
Month|DELI HISPANIC CHEESE_Ticket_Size,1
Month|DETERGENT_Ticket_Size,1
Month|FLOUR_Ticket_Size,1
Month|GM.LAUNDRY MISC_Ticket_Size,1
Month|PEANUT BUTTER_Ticket_Size,1
Month|SUGAR_Ticket_Size,1
Month|TORTILLERIA.TORTILLERIA_Ticket_Size,1
Year|Asian.Products_Sale_Net_Value,1
Year|BEVERAGE_Ticket_Size,1
Year|CHOCOLATE_Basket_Size,1
Year|CHOCOLATE_Ticket_Size,1
Year|COMMERCIAL BKRY_Ticket_Size,1
Year|FOILS.WRAPS.BAGS_Ticket_Size,1
Year|PORK SKINS_Ticket_Size,1
Year|SALTY SNACKS_Ticket_Size,1
Year|SERVICE DELI MAJOR CAT_Basket_Size,1
Year|SPICES.SEASONING_Ticket_Size,1
Year|SPORT DRINKS_Ticket_Size,1
Year|UTENSILS_Ticket_Size,1
Year|local_Festival_2015,1
Spd.Morning|Spd.Evening,1
Spd.Morning|Spd.Night,1
Spd.Morning|Temp.Afternoon,1
Spd.Afternoon|Spd.Night,1
Spd.Afternoon|Temp.Morning,1
Spd.Afternoon|Pcp.Afternoon,1
Spd.Evening|Spd.Afternoon,1
Spd.Evening|SPICES.SEASONING_Ticket_Size,1
Spd.Evening|TEA_Evening,1
Spd.Night|PLATES_Ticket_Size,1
Temp.Morning|Temp.Afternoon,1
Temp.Afternoon|Pcp.Night,1
Temp.Evening|Temp.Afternoon,1
Temp.Evening|BEER_Night,1
Temp.Evening|ICE CREAM_Night,1
Temp.Night|Temp.Morning,1
Temp.Night|Temp.Afternoon,1
Temp.Night|Temp.Evening,1
Pcp.Morning|Pcp.Afternoon,1
Pcp.Morning|Pcp.Night,1
Pcp.Morning|BAKERY DISCONTINUED_Sale_Total_Qty,1
Pcp.Morning|FLORAL . MAJOR CAT_Basket_Size,1
Pcp.Afternoon|Pcp.Evening,1
Pcp.Afternoon|Pcp.Night,1
Pcp.Afternoon|BAKERY DISCONTINUED_Sale_Net_Value,1
Pcp.Evening|GM.KITCHEN MISC_Ticket_Size,1
Pcp.Night|HOMINY_Afternoon,1
Asian.Products_Sale_Total_Qty|Asian.Products_Trans_Count,1
Asian.Products_Trans_Count|Asian.Products_Sale_Total_Qty,1
Asian.Products_Trans_Count|Asian.Products_Sale_Net_Value,1
Asian.Products_Trans_Count|Asian.Products_Afternoon,1
Asian.Products_Basket_Size|Asian.Products_Ticket_Size,1
Asian.Products_Basket_Size|DELI.CHORIZO_Basket_Size,1
Asian.Products_Ticket_Size|BEANS.CANNED_Ticket_Size,1
Asian.Products_Ticket_Size|DELI COFFEE ENHANCERS_Ticket_Size,1
Asian.Products_Ticket_Size|ICE CREAM_Ticket_Size,1
Asian.Products_Morning|Asian.Products_Afternoon,1
Asian.Products_Morning|Asian.Products_Night,1
Asian.Products_Morning|CEREAL_Ticket_Size,1
Asian.Products_Afternoon|Asian.Products_Night,1
Asian.Products_Evening|Asian.Products_Morning,1
Asian.Products_Evening|Asian.Products_Afternoon,1
Asian.Products_Night|DELI JUICE_Night,1
Asian.Products_Night|MEAT BEEF_Ticket_Size,1
Asian.Products_Night|SALTY SNACKS_Night,1
Asian.Products_Night|SERVICE DELI MAJOR CAT_Basket_Size,1
Special.day.2015|DELI MARGARINE_Morning,1
Special.day.2015|MEAT.CANNED_Basket_Size,1
Special.day.2015|local_Festival_2015,1
Special.day.2016|COOKIES_Basket_Size,1
Special.day.2016|DELI MEATS_Basket_Size,1
Special.day.2016|SEAFOOD_Ticket_Size,1
Is.Weekend|DETERGENT_Morning,1
Is.Weekend|HBC.HAIR CARE_Afternoon,1
Is.Weekend|NECTARS_Afternoon,1
Is.Weekend|PAPER TOWELS_Afternoon,1
Is.Weekend|SERVICE DELI.MAJOR CATEGORY_Morning,1
Is.Friday|BEER_Basket_Size,1
Is.Friday|BEER_Evening,1
Is.Friday|MEAT PORK_Basket_Size,1
Is.Friday|MILK_Ticket_Size,1
Is.Friday|UTENSILS_Basket_Size,1
BABY FOOD.FORMULA_Sale_Total_Qty|BABY FOOD.FORMULA_Trans_Count,1
BABY FOOD.FORMULA_Sale_Total_Qty|BABY FOOD.FORMULA_Sale_Net_Value,1
BABY FOOD.FORMULA_Trans_Count|BABY FOOD.FORMULA_Morning,1
BABY FOOD.FORMULA_Basket_Size|BABY FOOD.FORMULA_Ticket_Size,1
BABY FOOD.FORMULA_Sale_Net_Value|BABY FOOD.FORMULA_Trans_Count,1
BABY FOOD.FORMULA_Ticket_Size|BABY FOOD.FORMULA_Trans_Count,1
BABY FOOD.FORMULA_Ticket_Size|BABY FOOD.FORMULA_Basket_Size,1
BABY FOOD.FORMULA_Ticket_Size|BABY FOOD.FORMULA_Sale_Net_Value,1
BABY FOOD.FORMULA_Morning|GM.LAUNDRY MISC_Basket_Size,1
BABY FOOD.FORMULA_Afternoon|BABY FOOD.FORMULA_Trans_Count,1
BABY FOOD.FORMULA_Evening|PEANUT BUTTER_Evening,1
BABY FOOD.FORMULA_Night|DELI MILK ALTERNATIVES_Night,1
BAKERY DISCONTINUED_Sale_Total_Qty|BAKERY DISCONTINUED_Trans_Count,1
BAKERY DISCONTINUED_Sale_Total_Qty|BAKERY DISCONTINUED_Basket_Size,1
BAKERY DISCONTINUED_Sale_Total_Qty|DELI YOGURT.GELATIN_Afternoon,1
