State,District,Subdistrict,City,City_Regiotype,Pincode,Locality,Sublocality,Sublocality_ID,Grid_Name,Part_Grid_Name,Part_Grid_Split_Count,Grid_Population,Grid_Households,Part_Grid_Population,Part_Grid_Households,ESI_Value,ESI_Segment
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Nandanam,Nandanam,1083,Che_01628,Che_01628_1083,1,1312,337,1312,337,295000,"2,50,000-3,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Teynampet,Poes Garden,362,Che_01851,Che_01851_362,1,1192,301,473,120,257000,"2,50,000-3,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Teynampet,Kasturi Estate,372,Che_01851,Che_01851_372,1,1192,301,719,181,257000,"2,50,000-3,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Teynampet,Poes Garden,362,Che_01852,Che_01852_362,1,1534,385,1098,275,256000,"2,50,000-3,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Teynampet,Kasturi Estate,372,Che_01852,Che_01852_372,1,1534,385,436,110,256000,"2,50,000-3,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Abhiramapuram,Demonte Colony,672,Che_01857,Che_01857_672,1,2039,556,653,178,358000,"3,00,000-4,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Abhiramapuram,Demonte Colony,672,Che_01858,Che_01858_672,1,1756,482,320,88,358000,"3,00,000-4,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Abhiramapuram,Demonte Colony,672,Che_01858,Che_01858_672,1,1756,482,320,88,358000,"3,00,000-4,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600028,Raja Annamalai Puram,Krisknapuri,411,Che_01940,Che_01940_411,1,1987,522,976,256,290000,"2,50,000-3,00,000"
TAMILNADU,Chennai,Area not under any Sub-district,Chennai,Suburbs,600018,Abhiramapuram,Demonte Colony,672,Che_01779,Che_01779_672,2,1399,371,635,174,358000,"3,00,000-4,00,000"
