State,District,Subdistrict,City,City_Regiotype,Pincode,Locality,Sublocality,Sublocality_ID,Grid_Name,Part_Grid_Name,Part_Grid_Split_Count,Grid_Population,Grid_Households,Part_Grid_Population,Part_Grid_Households,ESI_Value,ESI_Segment
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,Ahm_00896,Ahm_00896_430,1,10,3,10,3,30000,"20,000-40,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Hebatpur Village,79,Ahm_01166,Ahm_01166_79,1,39,9,12,3,188000,"1,60,000-2,00,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,Ahm_00806,Ahm_00806_287,1,13,4,13,4,20000,"20,000-40,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Ashok Vatika,Ashok Vatika,287,Ahm_00650,Ahm_00650_287,1,222,50,20,5,249000,"2,00,000-2,50,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Ahm_01477,Ahm_01477_293,1,1814,431,22,5,157000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Ahm_01174,Ahm_01174_233,1,121,28,27,6,215000,"2,00,000-2,50,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,Ahm_01166,Ahm_01166_155,1,39,9,27,6,160000,"1,60,000-2,00,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Ahm_01176,Ahm_01176_293,1,29,7,29,7,130000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Ahm_01465,Ahm_01465_233,1,29,7,29,7,215000,"2,00,000-2,50,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Gurukul,Sunrise Park,254,Ahm_02062,Ahm_02062_254,1,336,73,29,7,98000,"80,000-1,20,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Ahm_01077,Ahm_01077_185,1,30,7,30,7,40000,"40,000-80,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Ahm_01666,Ahm_01666_93,1,33,8,33,8,113000,"80,000-1,20,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Ahm_01180,Ahm_01180_293,2,44,11,44,11,130000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Ahm_01174,Ahm_01174_185,1,121,28,46,11,127000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,Ahm_00808,Ahm_00808_430,1,646,158,46,12,158000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Ahm_01174,Ahm_01174_293,1,121,28,48,11,130000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Ahm_01274,Ahm_01274_233,1,49,11,49,11,116000,"80,000-1,20,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380059,Thaltej,Shangrila,233,Ahm_00643,Ahm_00643_233,1,49,11,49,11,215000,"2,00,000-2,50,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Ahm_01175,Ahm_01175_185,1,204,46,51,12,127000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Ahm_00893,Ahm_00893_185,1,51,12,51,12,127000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Ahm_00805,Ahm_00805_185,1,53,12,53,12,127000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,Ahm_01367,Ahm_01367_155,1,434,97,61,14,160000,"1,60,000-2,00,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Ahm_01081,Ahm_01081_293,1,282,69,61,15,130000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Ahm_00802,Ahm_00802_185,2,62,14,62,14,127000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Ahm_01473,Ahm_01473_293,1,141,32,66,15,121000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Ahm_01565,Ahm_01565_233,1,68,16,68,16,215000,"2,00,000-2,50,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Mem Nagar,Nilmani Society,147,Ahm_01864,Ahm_01864_147,1,207,47,74,17,150000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Ahm_01563,Ahm_01563_233,1,74,17,74,17,215000,"2,00,000-2,50,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Ahm_01473,Ahm_01473_233,2,141,32,75,17,116000,"80,000-1,20,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Ahm_00983,Ahm_00983_185,3,78,18,78,18,127000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Bhaikakanagar,19,Ahm_01372,Ahm_01372_19,1,696,155,78,18,143000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Mem Nagar,Sarathi Co-operative Housing Society,213,Ahm_01862,Ahm_01862_213,1,494,110,80,18,150000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Someshwar Park III,245,Ahm_01663,Ahm_01663_245,1,85,19,85,19,113000,"80,000-1,20,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Satellite,Premchand Nagar,182,Ahm_01476,Ahm_01476_182,1,498,114,85,21,118000,"80,000-1,20,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Ahm_01566,Ahm_01566_233,2,88,20,88,20,215000,"2,00,000-2,50,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Ahm_00978,Ahm_00978_233,3,93,21,93,21,215000,"2,00,000-2,50,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Ahm_00886,Ahm_00886_233,1,93,21,93,21,116000,"80,000-1,20,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,Ahm_00807,Ahm_00807_430,1,780,190,101,25,158000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Ahm_01079,Ahm_01079_293,2,101,25,101,25,92000,"80,000-1,20,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Mem Nagar,Mem Nagar,348,Ahm_01958,Ahm_01958_348,1,3746,830,105,24,210000,"2,00,000-2,50,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Ahm_01275,Ahm_01275_293,1,105,24,105,24,117000,"80,000-1,20,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Ahm_00894,Ahm_00894_185,1,105,24,105,24,127000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Ahm_01868,Ahm_01868_251,1,821,193,111,26,130000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380058,Thaltej,PRL Colony,185,Ahm_00571,Ahm_00571_185,1,116,26,116,26,127000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Ahm_00801,Ahm_00801_185,2,117,26,117,26,127000,"1,20,000-1,60,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Ahm_00720,Ahm_00720_233,2,121,27,121,27,215000,"2,00,000-2,50,000"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Sumeru,251,Ahm_01866,Ahm_01866_251,1,364,82,122,28,130000,"1,20,000-1,60,000"
