Date	Month	SaleVal	Surge	Price	Evening	Midday	Morning	Night	Day	Festival	TransactionFraction	Season	Week	WeekSales
1	January	-0.55	1	0.00	1145	1030	163	526	Thursday	1	0.001655784	1	1	0.1868
2	January	0.29	1	-0.03	1604	908	220	985	Friday	1	0.002148935	1	1	0.1868
3	January	0.06	0	0.07	1340	1099	351	986	Saturday	1	0.002183045	1	1	0.1868
4	January	0.74	1	0.01	2941	1757	397	1392	Sunday	1	0.003750374	1	1	0.2583
5	January	-0.3	1	-0.06	1805	1115	364	1572	Monday	1	0.002807433	1	1	0.2583
6	January	-0.02	0	0.00	1628	1158	472	1307	Tuesday	1	0.002639195	1	1	0.2583
7	January	-0.21	1	0.02	1451	848	300	1109	Wednesday	1	0.002143732	1	1	0.2583
8	January	-0.04	0	0.00	1242	1003	288	1004	Thursday	1	0.00204487	1	2	0.2583
9	January	0.05	0	0.01	1463	725	307	1113	Friday	1	0.002085918	1	2	0.2583
10	January	0.32	1	0.03	1638	1789	278	982	Saturday	1	0.002709728	1	2	0.2583
11	January	0.35	1	-0.01	2645	1963	440	1508	Sunday	1	0.003790266	1	2	0.2089
12	January	-0.23	1	-0.03	1717	1171	507	1618	Monday	1	0.0028982	1	2	0.2089
13	January	-0.36	1	-0.03	1412	641	302	1011	Tuesday	1	0.001946009	1	2	0.2089
14	January	0.23	1	0.03	1601	823	245	1358	Wednesday	1	0.002328157	1	2	0.2089
15	January	-0.19	0	-0.01	1271	803	307	967	Thursday	1	0.001935602	1	3	0.2089
16	January	0.18	0	-0.01	1469	968	338	1046	Friday	1	0.002209061	1	3	0.2089
17	January	0.09	0	-0.01	1517	1415	458	938	Saturday	1	0.002502177	1	3	0.2089
18	January	0.52	1	0.02	2557	1859	440	1670	Sunday	1	0.003772922	1	3	0.2057
19	January	-0.21	1	0.00	1652	1429	282	1692	Monday	1	0.002922482	1	3	0.2057
20	January	-0.24	1	0.00	1502	750	418	1103	Tuesday	1	0.002181311	1	3	0.2057
21	January	-0.11	0	0.01	1155	842	253	1114	Wednesday	1	0.001944853	1	3	0.2057
22	January	-0.12	0	-0.07	1055	715	296	1122	Thursday	1	0.001843101	1	4	0.2057
23	January	0	0	0.02	963	715	318	1125	Friday	1	0.001804365	1	4	0.2057
24	January	0.39	1	0.09	1316	1320	401	957	Saturday	1	0.002309079	1	4	0.2057
25	January	0.61	1	-0.04	2325	2020	570	1750	Sunday	1	0.003853283	1	4	0.194
26	January	-0.32	1	-0.03	1608	993	484	1597	Monday	1	0.002706837	1	4	0.194
27	January	-0.22	1	0.00	1408	782	385	1054	Tuesday	1	0.002098059	1	4	0.194
28	January	-0.06	0	-0.04	1412	828	220	1175	Wednesday	1	0.002101528	1	4	0.194
29	January	-0.16	0	0.00	1093	637	367	969	Thursday	1	0.001772568	1	4	0.194
30	January	0.2	0	0.03	1489	864	264	962	Friday	1	0.002069152	1	4	0.194
31	January	0.27	1	-0.01	1608	1286	340	1290	Saturday	1	0.002615492	1	4	0.194
1	February	0.55	1	0.03	2450	2224	538	1535	Sunday	0	0.00390069	1	1	0.2529
2	February	-0.29	1	0.01	1885	941	536	1329	Monday	0	0.00271204	1	1	0.2529
3	February	-0.13	0	-0.05	1299	1079	471	1496	Tuesday	0	0.002512005	1	1	0.2529
4	February	-0.14	0	0.02	1119	913	406	1251	Wednesday	0	0.002132747	1	1	0.2529
5	February	-0.01	0	0.06	1198	747	388	1086	Thursday	0	0.00197665	1	1	0.2529
6	February	0.16	0	-0.02	1359	1005	398	1304	Friday	0	0.002350705	1	1	0.2529
7	February	0.15	0	0.07	1411	1291	588	1207	Saturday	0	0.002599882	1	1	0.2529
8	February	0.58	1	-0.05	2550	2271	571	1936	Sunday	0	0.004236588	1	2	0.2527
9	February	-0.28	1	-0.04	1989	1131	520	1797	Monday	0	0.003143331	1	2	0.2527
10	February	-0.26	1	0.01	1380	978	337	1257	Tuesday	0	0.002284797	1	2	0.2527
11	February	-0.12	0	-0.01	1136	889	313	1332	Wednesday	0	0.002121763	1	2	0.2527
12	February	0.03	0	-0.03	1169	1002	332	1294	Thursday	0	0.002195186	1	2	0.2527
13	February	0.04	0	0.04	1306	1049	288	1058	Friday	0	0.002139685	1	2	0.2527
14	February	-0.04	0	0.04	1071	1187	426	873	Saturday	0	0.002056433	1	2	0.2527
15	February	0.7	1	-0.04	2114	1957	567	1621	Sunday	0	0.003618559	1	3	0.2508
16	February	-0.17	0	0.00	1746	1163	475	1768	Monday	0	0.002978562	1	3	0.2508
17	February	-0.14	0	-0.03	1575	860	388	1670	Tuesday	0	0.002597569	1	3	0.2508
18	February	-0.2	0	0.00	1235	957	305	1159	Wednesday	0	0.002113669	1	3	0.2508
19	February	0.03	0	0.08	1207	704	271	1246	Thursday	0	0.001981853	1	3	0.2508
20	February	0.06	0	-0.08	1382	867	435	1376	Friday	0	0.002347236	1	3	0.2508
21	February	0.18	0	0.07	1382	1533	457	1121	Saturday	0	0.002597569	1	3	0.2508
22	February	0.48	1	-0.04	2754	1983	676	1542	Sunday	0	0.004020942	1	4	0.2436
23	February	-0.27	1	-0.01	1737	1189	307	1865	Monday	0	0.002947342	1	4	0.2436
24	February	-0.23	1	-0.04	1265	1099	366	1407	Tuesday	0	0.002391753	1	4	0.2436
25	February	-0.04	0	-0.01	1416	901	276	1464	Wednesday	0	0.002345502	1	4	0.2436
26	February	-0.06	0	0.05	1103	758	298	1332	Thursday	0	0.002018276	1	4	0.2436
27	February	0.08	0	-0.06	1541	934	453	1110	Friday	0	0.002334517	1	4	0.2436
28	February	0.07	0	0.03	1683	1364	420	836	Saturday	0	0.002487723	1	4	0.2436
1	March	0.69	1	0.02	2470	2607	542	1417	Sunday	0	0.004067772	1	1	0.2222
2	March	-0.28	1	0.01	1683	1392	495	1439	Monday	0	0.002895888	1	1	0.2222
3	March	-0.14	0	-0.05	1630	986	327	1536	Tuesday	0	0.002589475	1	1	0.2222
4	March	-0.12	0	0.09	1240	741	359	1284	Wednesday	0	0.002095168	1	1	0.2222
5	March	0.03	0	-0.04	1366	928	323	1361	Thursday	0	0.002299829	1	1	0.2222
6	March	0.21	1	0.03	1686	973	420	1465	Friday	0	0.002627054	1	1	0.2222
7	March	0.01	0	0.04	1555	1337	345	1184	Saturday	0	0.002555943	1	1	0.2222
8	March	0.55	1	-0.03	2552	1964	401	2433	Sunday	0	0.004249307	1	2	0.2294
9	March	-0.27	1	-0.02	1494	1333	373	2150	Monday	0	0.003093033	1	2	0.2294
10	March	-0.19	0	-0.01	1243	939	437	1744	Tuesday	0	0.002522411	1	2	0.2294
11	March	0.01	0	0.04	1319	897	305	1650	Wednesday	0	0.002411409	1	2	0.2294
12	March	-0.08	0	-0.01	1359	836	398	1382	Thursday	0	0.002298094	1	2	0.2294
13	March	0.05	0	0.02	1515	851	364	1359	Friday	0	0.002364002	1	2	0.2294
14	March	0.06	0	-0.01	1360	1240	438	1388	Saturday	0	0.002558834	1	2	0.2294
15	March	0.57	1	-0.01	2202	1791	608	2348	Sunday	0	0.004017474	1	3	0.2204
16	March	-0.2	0	-0.01	1966	1141	380	2150	Monday	0	0.003258958	1	3	0.2204
17	March	-0.28	1	-0.02	1128	828	338	1735	Tuesday	0	0.002329314	1	3	0.2204
18	March	-0.07	0	0.03	1279	712	404	1298	Wednesday	0	0.00213506	1	3	0.2204
19	March	-0.05	0	-0.07	1185	800	301	1448	Thursday	0	0.002158763	1	3	0.2204
20	March	0.15	0	0.05	1187	973	387	1620	Friday	0	0.002409097	1	3	0.2204
21	March	0.12	0	0.04	1560	1153	376	1307	Saturday	0	0.00254149	1	3	0.2204
22	March	0.56	1	-0.03	2576	1986	508	2236	Sunday	0	0.004223869	1	4	0.2164
23	March	-0.32	1	0.00	1389	912	439	2085	Monday	0	0.002789511	1	4	0.2164
24	March	-0.16	0	-0.01	1399	874	338	1583	Tuesday	0	0.002424706	1	4	0.2164
25	March	0	0	-0.01	1335	788	297	1759	Wednesday	0	0.002416034	1	4	0.2164
26	March	-0.06	0	0.01	1088	817	386	1522	Thursday	0	0.002204436	1	4	0.2164
27	March	-0.02	0	-0.01	1116	967	419	1346	Friday	0	0.002224671	1	4	0.2164
28	March	0.21	1	0.08	1349	1262	459	1118	Saturday	0	0.002421238	1	4	0.2164
29	March	0.54	1	-0.06	2490	1737	598	2188	Sunday	0	0.004054474	1	4	0.1116
30	March	-0.23	1	0.02	1536	1142	318	2071	Monday	0	0.00292942	1	4	0.1116
31	March	-0.19	0	0.00	1225	1176	215	1684	Tuesday	0	0.002485989	1	4	0.1116
1	April	-0.05	0	-0.01	1281	983	241	1627	Wednesday	0	0.002388862	0	1	0.1116
2	April	-0.03	0	-0.07	1382	1140	387	1304	Thursday	0	0.002435691	0	1	0.1116
3	April	0.12	0	0.04	1521	1292	390	1396	Friday	0	0.002658852	0	1	0.1116
4	April	0.07	0	0.03	1292	1559	497	1496	Saturday	0	0.002800495	0	1	0.1116
5	April	0.58	1	0.03	1997	2242	458	2806	Sunday	0	0.004337761	0	1	0.248
6	April	-0.28	1	-0.04	1818	1083	536	2044	Monday	0	0.003168769	0	1	0.248
7	April	-0.12	0	-0.03	1368	1026	455	1881	Tuesday	0	0.002734588	0	1	0.248
8	April	-0.06	0	0.02	1561	1054	407	1606	Wednesday	0	0.002675618	0	2	0.248
9	April	-0.07	0	0.02	1205	836	589	1616	Thursday	0	0.002454769	0	2	0.248
10	April	0.06	0	0.02	1316	1011	426	1535	Friday	0	0.002479051	0	2	0.248
11	April	0	0	-0.01	1401	1321	420	1211	Saturday	0	0.00251663	0	2	0.248
12	April	0.64	1	0.00	2324	1880	531	2411	Sunday	0	0.004131367	0	2	0.2357
13	April	-0.29	1	0.00	1552	1272	371	1883	Monday	0	0.002935779	0	2	0.2357
14	April	-0.28	1	-0.05	1245	843	279	1464	Tuesday	0	0.002214843	0	2	0.2357
15	April	0.05	0	0.06	1349	856	303	1397	Wednesday	0	0.002257625	0	3	0.2357
16	April	0	0	-0.03	1061	796	482	1605	Thursday	0	0.002280172	0	3	0.2357
17	April	0.15	0	0.06	1235	891	363	1824	Friday	0	0.002493505	0	3	0.2357
18	April	0.14	0	0.01	1696	1287	431	1448	Saturday	0	0.002810902	0	3	0.2357
19	April	0.43	1	-0.01	2298	1832	560	2457	Sunday	0	0.004131945	0	3	0.2328
20	April	-0.22	1	-0.01	1698	1105	628	2193	Monday	0	0.003251442	0	3	0.2328
21	April	-0.25	1	0.02	1524	818	311	1517	Tuesday	0	0.002410831	0	3	0.2328
22	April	-0.07	0	-0.06	1386	854	301	1559	Wednesday	0	0.002370361	0	4	0.2328
23	April	-0.03	0	0.00	1088	839	536	1481	Thursday	0	0.002280172	0	4	0.2328
24	April	-0.01	0	0.00	1375	875	410	1294	Friday	0	0.002285953	0	4	0.2328
25	April	0.07	0	0.01	1291	1324	383	1114	Saturday	0	0.002377299	0	4	0.2328
26	April	0.72	1	0.01	2268	1978	616	2191	Sunday	0	0.0040776	0	4	0.1612
27	April	-0.33	1	-0.05	1674	885	475	1943	Monday	0	0.002877388	0	4	0.1612
28	April	-0.16	0	0.00	1378	871	451	1495	Tuesday	0	0.002425284	0	4	0.1612
29	April	-0.02	0	0.02	1207	886	386	1481	Wednesday	0	0.002289422	0	4	0.1612
30	April	-0.13	0	-0.03	1040	634	332	1536	Thursday	0	0.002047761	0	4	0.1612
1	May	0.24	1	0.02	1237	888	449	1744	Friday	0	0.002496395	0	1	0.1612
2	May	0.16	0	0.08	1654	1309	508	1207	Saturday	0	0.002704525	0	1	0.1612
3	May	0.51	1	-0.06	2554	1994	473	2588	Sunday	0	0.004399044	0	1	0.2303
4	May	-0.31	1	-0.01	1637	1147	494	1986	Monday	0	0.003043313	0	1	0.2303
5	May	-0.18	0	0.00	1312	928	311	1646	Tuesday	0	0.002426441	0	1	0.2303
6	May	0.08	0	0.02	1533	1034	305	1565	Wednesday	0	0.002565194	0	1	0.2303
7	May	-0.14	0	0.04	1247	828	355	1373	Thursday	0	0.002198655	0	1	0.2303
8	May	0.24	1	0.01	1464	1194	491	1325	Friday	0	0.002586585	0	2	0.2303
9	May	0.06	0	0.04	1541	1386	694	1102	Saturday	0	0.002730541	0	2	0.2303
10	May	0.36	1	-0.03	2135	1954	671	1845	Sunday	0	0.003818595	0	2	0.227
11	May	-0.17	0	-0.01	1712	1086	461	2298	Monday	0	0.003212707	0	2	0.227
12	May	-0.16	0	-0.03	1371	1034	457	1820	Tuesday	0	0.002706837	0	2	0.227
13	May	-0.24	1	-0.01	1306	705	334	1161	Wednesday	0	0.002026948	0	2	0.227
14	May	-0.02	0	0.00	1279	808	417	1143	Thursday	0	0.002108465	0	2	0.227
15	May	0.31	1	0.02	1572	1314	447	1349	Friday	0	0.002706837	0	3	0.227
16	May	0.06	0	0.04	1617	1373	540	1168	Saturday	0	0.002716087	0	3	0.227
