cust_id,txn_date_time,product_id,purchased_qty,product_unit_price,order_value
cust122267,2018.05.20 AD at 18:20:49 IST,coca cola,8,4,4
cust122267,2018.05.20 AD at 18:20:49 IST,pepsi,9,4,8
cust122267,2018.05.20 AD at 18:20:49 IST,soda water,2,4,12
cust122267,2018.05.20 AD at 18:20:49 IST,rasna,26,4,16
cust122267,2018.05.20 AD at 18:20:49 IST,ice,28,4,20
cust122267,2018.05.20 AD at 18:20:49 IST,beer,17,4,24
cust122267,2018.05.20 AD at 18:20:49 IST,Amul Butter,7,4,4
cust122267,2018.05.20 AD at 18:20:49 IST,Amul Cheese slices,30,4,8
cust122267,2018.05.20 AD at 18:20:49 IST,wheat atta,18,4,12
cust122267,2018.05.20 AD at 18:20:49 IST,baadam,25,4,16
cust122267,2018.05.20 AD at 18:20:49 IST,kaju,18,4,20
cust122267,2018.05.20 AD at 18:20:49 IST,toor daal,29,4,24
cust122267,2018.05.20 AD at 18:20:49 IST,malka daal,19,4,28
cust122267,2018.05.20 AD at 18:20:49 IST,urad daal,16,4,32
cust122267,2018.05.20 AD at 18:20:49 IST,rice,1,4,36
cust122267,2018.05.20 AD at 18:20:49 IST,paneer,13,4,40
cust122267,2018.05.20 AD at 18:20:49 IST,sugar,15,4,44
cust122267,2018.05.20 AD at 18:20:49 IST,tea leafs,18,4,48
cust122267,2018.05.20 AD at 18:20:49 IST,coffee,16,4,52
cust122267,2018.05.20 AD at 18:20:49 IST,lizzat papad,6,4,56
cust122267,2018.05.20 AD at 18:20:49 IST,maida,19,4,60
cust122267,2018.05.20 AD at 18:20:49 IST,rawa,3,4,64
cust122267,2018.05.20 AD at 18:20:49 IST,curd,10,4,68
cust122267,2018.05.20 AD at 18:20:49 IST,musturd oil,30,4,4
cust122267,2018.05.20 AD at 18:20:49 IST,ghee,11,4,8
cust122267,2018.05.20 AD at 18:20:49 IST,red chilli,2,4,4
cust122267,2018.05.20 AD at 18:20:49 IST,salt,17,4,8
cust122267,2018.05.20 AD at 18:20:49 IST,jeera,18,4,12
cust122267,2018.05.20 AD at 18:20:49 IST,garam masala,9,4,16
cust122267,2018.05.20 AD at 18:20:49 IST,jeera powder,19,4,20
cust122267,2018.05.20 AD at 18:20:49 IST,coriander powder,4,4,24
cust122267,2018.05.20 AD at 18:20:49 IST,glass,23,4,4
cust122267,2018.05.20 AD at 18:20:49 IST,cup,2,4,8
cust122267,2018.05.20 AD at 18:20:49 IST,plate,3,4,12
cust122267,2018.05.20 AD at 18:20:49 IST,spoons,26,4,16
cust122267,2018.05.20 AD at 18:20:49 IST,face cream,30,4,4
cust122267,2018.05.20 AD at 18:20:49 IST,face pack,26,4,8
cust122267,2018.05.20 AD at 18:20:49 IST,multani mitti,25,4,12
cust122267,2018.05.20 AD at 18:20:49 IST,soap,26,4,16
cust122267,2018.05.20 AD at 18:20:49 IST,Nest Bread,23,4,4
cust122267,2018.05.20 AD at 18:20:49 IST,kurkure,18,4,4
cust122267,2018.05.20 AD at 18:20:49 IST,biscuit,24,4,8
cust122267,2018.05.20 AD at 18:20:49 IST,makhana,17,4,12
cust122267,2018.05.20 AD at 18:20:49 IST,chips,12,4,16
cust122267,2018.05.20 AD at 18:20:49 IST,green chilli,12,4,4
cust122267,2018.05.20 AD at 18:20:49 IST,potato raw,15,4,8
cust122267,2018.05.20 AD at 18:20:49 IST,onion raw,2,4,12
cust122267,2018.05.20 AD at 18:20:49 IST,cauli flower,17,4,16
cust123367,2018.05.20 AD at 18:20:49 IST,Amul Butter,11,6,6
cust123367,2018.05.20 AD at 18:20:49 IST,Amul Cheese slices,28,6,12
cust123367,2018.05.20 AD at 18:20:49 IST,wheat atta,25,6,18
cust123367,2018.05.20 AD at 18:20:49 IST,baadam,19,6,24
cust123367,2018.05.20 AD at 18:20:49 IST,kaju,1,6,30
cust123367,2018.05.20 AD at 18:20:49 IST,toor daal,3,6,36
cust123367,2018.05.20 AD at 18:20:49 IST,malka daal,6,6,42
cust123367,2018.05.20 AD at 18:20:49 IST,urad daal,5,6,48
cust123367,2018.05.20 AD at 18:20:49 IST,rice,18,6,54
cust123367,2018.05.20 AD at 18:20:49 IST,paneer,8,6,60
cust123367,2018.05.20 AD at 18:20:49 IST,sugar,21,6,66
cust123367,2018.05.20 AD at 18:20:49 IST,tea leafs,15,6,72
cust123367,2018.05.20 AD at 18:20:49 IST,coffee,10,6,78
cust123367,2018.05.20 AD at 18:20:49 IST,lizzat papad,16,6,84
cust123367,2018.05.20 AD at 18:20:49 IST,maida,8,6,90
cust123367,2018.05.20 AD at 18:20:49 IST,rawa,13,6,96
cust123367,2018.05.20 AD at 18:20:49 IST,curd,24,6,102
cust123367,2018.05.20 AD at 18:20:49 IST,musturd oil,28,6,6
cust123367,2018.05.20 AD at 18:20:49 IST,ghee,8,6,12
cust123367,2018.05.20 AD at 18:20:49 IST,face cream,1,6,6
cust123367,2018.05.20 AD at 18:20:49 IST,face pack,8,6,12
cust123367,2018.05.20 AD at 18:20:49 IST,multani mitti,9,6,18
cust123367,2018.05.20 AD at 18:20:49 IST,soap,13,6,24
cust123367,2018.05.20 AD at 18:20:49 IST,Nest Bread,29,6,6
cust124467,2018.05.20 AD at 18:20:49 IST,coca cola,5,8,8
cust124467,2018.05.20 AD at 18:20:49 IST,pepsi,12,8,16
cust124467,2018.05.20 AD at 18:20:49 IST,soda water,17,8,24
cust124467,2018.05.20 AD at 18:20:49 IST,rasna,2,8,32
cust124467,2018.05.20 AD at 18:20:49 IST,ice,24,8,40
cust124467,2018.05.20 AD at 18:20:49 IST,beer,27,8,48
cust124467,2018.05.20 AD at 18:20:49 IST,Amul Butter,7,8,8
cust124467,2018.05.20 AD at 18:20:49 IST,Amul Cheese slices,3,8,16
cust124467,2018.05.20 AD at 18:20:49 IST,wheat atta,29,8,24
cust124467,2018.05.20 AD at 18:20:49 IST,baadam,23,8,32
cust124467,2018.05.20 AD at 18:20:49 IST,kaju,25,8,40
cust124467,2018.05.20 AD at 18:20:49 IST,toor daal,23,8,48
cust124467,2018.05.20 AD at 18:20:49 IST,malka daal,13,8,56
cust124467,2018.05.20 AD at 18:20:49 IST,urad daal,24,8,64
cust124467,2018.05.20 AD at 18:20:49 IST,rice,14,8,72
cust124467,2018.05.20 AD at 18:20:49 IST,paneer,14,8,80
cust124467,2018.05.20 AD at 18:20:49 IST,sugar,25,8,88
cust124467,2018.05.20 AD at 18:20:49 IST,tea leafs,11,8,96
cust124467,2018.05.20 AD at 18:20:49 IST,coffee,9,8,104
cust124467,2018.05.20 AD at 18:20:49 IST,lizzat papad,11,8,112
cust124467,2018.05.20 AD at 18:20:49 IST,maida,3,8,120
cust124467,2018.05.20 AD at 18:20:49 IST,rawa,20,8,128
cust124467,2018.05.20 AD at 18:20:49 IST,curd,9,8,136
cust124467,2018.05.20 AD at 18:20:49 IST,musturd oil,22,8,8
cust124467,2018.05.20 AD at 18:20:49 IST,ghee,25,8,16
cust124467,2018.05.20 AD at 18:20:49 IST,red chilli,6,8,8
cust124467,2018.05.20 AD at 18:20:49 IST,salt,30,8,16
cust124467,2018.05.20 AD at 18:20:49 IST,jeera,10,8,24
cust124467,2018.05.20 AD at 18:20:49 IST,garam masala,30,8,32
cust124467,2018.05.20 AD at 18:20:49 IST,jeera powder,16,8,40
cust124467,2018.05.20 AD at 18:20:49 IST,coriander powder,20,8,48
cust124467,2018.05.20 AD at 18:20:49 IST,glass,5,8,8
cust124467,2018.05.20 AD at 18:20:49 IST,cup,22,8,16
cust124467,2018.05.20 AD at 18:20:49 IST,plate,20,8,24
cust124467,2018.05.20 AD at 18:20:49 IST,spoons,25,8,32
cust124467,2018.05.20 AD at 18:20:49 IST,face cream,17,8,8
cust124467,2018.05.20 AD at 18:20:49 IST,face pack,14,8,16
cust124467,2018.05.20 AD at 18:20:49 IST,multani mitti,7,8,24
cust124467,2018.05.20 AD at 18:20:49 IST,soap,27,8,32
cust124467,2018.05.20 AD at 18:20:49 IST,Nest Bread,29,8,8
cust124467,2018.05.20 AD at 18:20:49 IST,kurkure,9,8,8
cust124467,2018.05.20 AD at 18:20:49 IST,biscuit,8,8,16
cust124467,2018.05.20 AD at 18:20:49 IST,makhana,26,8,24
cust124467,2018.05.20 AD at 18:20:49 IST,chips,25,8,32
cust124467,2018.05.20 AD at 18:20:49 IST,green chilli,29,8,8
cust124467,2018.05.20 AD at 18:20:49 IST,potato raw,23,8,16
cust124467,2018.05.20 AD at 18:20:49 IST,onion raw,6,8,24
cust124467,2018.05.20 AD at 18:20:49 IST,cauli flower,27,8,32
cust125567,2018.05.20 AD at 18:20:49 IST,coca cola,7,10,10
cust125567,2018.05.20 AD at 18:20:49 IST,pepsi,9,10,20
cust125567,2018.05.20 AD at 18:20:49 IST,soda water,27,10,30
cust125567,2018.05.20 AD at 18:20:49 IST,rasna,11,10,40
cust125567,2018.05.20 AD at 18:20:49 IST,ice,30,10,50
cust125567,2018.05.20 AD at 18:20:49 IST,beer,13,10,60
cust125567,2018.05.20 AD at 18:20:49 IST,Amul Butter,15,10,10
cust125567,2018.05.20 AD at 18:20:49 IST,Amul Cheese slices,2,10,20
cust125567,2018.05.20 AD at 18:20:49 IST,wheat atta,17,10,30
cust125567,2018.05.20 AD at 18:20:49 IST,baadam,3,10,40
cust125567,2018.05.20 AD at 18:20:49 IST,kaju,19,10,50
