State,District,Subdistrict,City,City_Regiotype,Pincode,Locality,Sublocality,Sublocality_ID,Search Terms
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,"Blackberrys, Allen Solly, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Hebatpur Village,79,"Pierre Cardin, Being Human "
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,"Mexx, Van Heusen, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Ashok Vatika,Ashok Vatika,287,"Being Human, Pierre Cardin, Mexx"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,"Allen Solly, Titan, Pierre Cardin"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,"Mexx, Van Heusen, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,"Being Human, Pierre Cardin, Mexx"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,"Blackberrys, Allen Solly, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,"Being Human, Pierre Cardin, Mexx"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Gurukul,Sunrise Park,254,"Being Human, Pierre Cardin, Mexx"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,"Pierre Cardin, Being Human "
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,"Mexx, Van Heusen, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,"Allen Solly, Titan, Pierre Cardin"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,"Mexx, Van Heusen, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,"Allen Solly, Titan, Pierre Cardin"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,"Mexx, Van Heusen, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,"Being Human, Pierre Cardin, Mexx"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380059,Thaltej,Shangrila,233,"Blackberrys, Allen Solly, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,"Mexx, Van Heusen, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,"Allen Solly, Titan, Pierre Cardin"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,"Mexx, Van Heusen, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,"Allen Solly, Titan, Pierre Cardin"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,"Blackberrys, Allen Solly, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,"Mexx, Van Heusen, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,"Allen Solly, Titan, Pierre Cardin"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,"Pierre Cardin, Being Human "
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Mem Nagar,Nilmani Society,147,"Being Human, Pierre Cardin, Mexx"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,"Mexx, Van Heusen, Titan"
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,"Being Human, Pierre Cardin, Mexx"
