State,District,Subdistrict,City,City_Regiotype,Pincode,Locality,Sublocality,Sublocality_ID,Competition_Store,Key_Categories,Key_Brands
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,Competition3,Personal Accessories,BLACKBERRYS
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Hebatpur Village,79,Competition2,Mens  Formals,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Ashok Vatika,Ashok Vatika,287,Competition5,BTL Fashion & Active Sports,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Ashok Vatika,Ashok Vatika,287,Competition2,E-Com Brands,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition3,Personal Accessories,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Panchamrut Bunglows II,155,Competition1,E-Com Brands,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Competition4,Mens  Formals,MEXX
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition1,E-Com Brands,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Gurukul,Sunrise Park,254,Competition5,BTL Fashion & Active Sports,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition5,BTL Fashion & Active Sports,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Jai Ambe Nagar,93,Competition3,E-Com Brands,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Bodakdev,Bodakdev,293,Competition1,Personal Accessories,BEING HUMAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition3,BTL Fashion & Active Sports,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Suburbs,380054,Vikram Nagar,Vikram Nagar,430,Competition4,Personal Accessories,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Bodakdev,Bodakdev,293,Competition5,E-Com Brands,VAN HEUSEN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,Shangrila,233,Competition4,Mens  Formals,PIERRE CARDIN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380059,Thaltej,Shangrila,233,Competition2,Personal Accessories,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition5,BTL Fashion & Active Sports,TITAN
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition4,BTL Fashion & Active Sports,ALLEN SOLLY
Gujarat,Ahmadabad,Ahmadabad City,Ahmadabad,Second City,380054,Thaltej,PRL Colony,185,Competition2,E-Com Brands,TITAN
