Date,Month,SaleVal,Surge,Price,Evening,Midday,Morning,Night,Day,Festival,TransactionFraction,Season
1,January,-0.55,1,0.05,2437,2514,760,1132,Friday,1,0.001819316,1
2,January,0.37,1,-0.05,1359,1056,195,322,Saturday,1,0.002632795,1
3,January,0.52,1,0.02,1528,1136,402,1177,Sunday,1,0.004045061,1
4,January,-0.17,0,0.03,2673,1968,447,1431,Monday,1,0.003154639,1
5,January,-0.21,1,-0.03,1869,1227,513,1475,Tuesday,1,0.002546546,1
6,January,-0.02,0,-0.02,1547,1216,418,923,Wednesday,1,0.002679954,1
7,January,0.01,0,0.03,1666,1348,491,814,Thursday,1,0.002510556,1
8,January,0.02,0,-0.02,1609,1097,447,893,Friday,1,0.002524828,1
9,January,-0.02,0,0.06,1554,895,413,1207,Saturday,1,0.002491321,1
10,January,0.84,1,-0.04,1485,1267,422,841,Sunday,1,0.004744989,1
11,January,-0.3,1,0.02,3176,2300,621,1550,Monday,1,0.003278119,1
12,January,-0.18,0,-0.07,2182,1394,512,1195,Tuesday,1,0.002791644,1
13,January,0.01,0,0.11,1813,1162,314,1210,Wednesday,1,0.002560817,1
14,January,-0.18,0,-0.06,1455,1120,436,1116,Thursday,1,0.002208371,1
15,January,0.04,0,-0.01,1376,771,406,1006,Friday,1,0.002318821,1
16,January,0.28,1,-0.01,1433,893,395,1016,Saturday,1,0.003128578,1
17,January,0.33,1,0.03,1991,1504,504,1043,Sunday,1,0.003968119,1
18,January,-0.18,0,-0.02,2414,1966,529,1486,Monday,1,0.003424558,1
19,January,-0.15,0,-0.01,2153,1222,380,1764,Tuesday,1,0.002745107,1
20,January,-0.17,0,0.02,1699,1108,405,1212,Wednesday,1,0.00226856,1
21,January,-0.08,0,0.01,1453,783,360,1060,Thursday,1,0.002136393,1
22,January,0.02,0,-0.03,1381,795,410,857,Friday,1,0.002167418,1
23,January,0.21,1,0.02,1207,772,376,1138,Saturday,1,0.002704774,1
24,January,0.61,1,0.01,1573,1317,414,1055,Sunday,1,0.004308775,1
25,January,-0.28,1,-0.01,2794,1998,516,1636,Monday,1,0.003092588,1
26,January,-0.24,1,0.01,1863,1033,522,1566,Tuesday,1,0.002266078,1
27,January,0.07,0,-0.08,1413,792,350,1097,Wednesday,1,0.002667544,1
28,January,-0.16,0,0.04,1517,927,322,1533,Thursday,1,0.002109091,1
29,January,0.12,0,0,1200,834,419,946,Friday,1,0.002417481,1
30,January,0.21,1,0.01,1318,864,408,1306,Saturday,1,0.002944909,1
